id,name,address,lat,lng
178,Ararat Community Garden,"Basham Street, Ararat, Rural City of Ararat, Victoria, 3377, Australia",-37.277613,142.9313032
181,St Arnaud Community Garden,"James Street, St Arnaud, Shire of Northern Grampians, Victoria, 3478, Australia",-36.6086681,143.2468659
182,Stawell Community Garden,"William Street, Stawell, Shire of Northern Grampians, Victoria, 3380, Australia",-37.0648474,142.7931328
193,229 Hoddle St Collingwood,"Hoddle Street, Collingwood, City of Yarra, Victoria, 3066, Australia",-37.8015308,144.9928297
195,Alfred Street North Melbourne,"Alfred Street, Hotham Hill, North Melbourne, City of Melbourne, Victoria, 3051, Australia",-37.7926802,144.9443585
196,Anglesea Community Garden,"McMillan Street, Anglesea, Surf Coast Shire, Victoria, 3230, Australia",-38.4113131,144.1802142
197,Alamein Community Garden,"Ashburn Grove, Ashburton, City of Boroondara, Victoria, 3147, Australia",-37.8697037,145.0796124
200,253 Hoddle St Collingwood,"Harmsworth Street, Collingwood Public Housing Estate, Collingwood, City of Yarra, Victoria, 3066, Australia",-37.801071,144.9907789
223,The VRI Community Garden,"Queens Parade, Traralgon, Latrobe City, Victoria, 3844, Australia",-38.1998001,146.5370192
224,Sorrento Connected Garden,"Melbourne Road, Sorrento, Shire of Mornington Peninsula, Victoria, 3943, Australia",-38.3512811,144.7472662
227,Portland Community Garden,"Henty Street, Portland, Shire of Glenelg, Victoria, 3305, Australia",-38.3462035,141.6005948
234,Hawthorn Community Garden â€” Riversdale Road,"Riversdale Road, Hawthorn East, Hawthorn, City of Boroondara, Victoria, 3122, Australia",-37.8288232,145.0349047
235,Hawthorn Community Garden â€” Linda Crescent,"Hawthorn Community Garden, Lynch Street, Hawthorn, City of Boroondara, Victoria, 3122, Australia",-37.8213957,145.0310059
236,Hampton Park Community Garden,"Hallam Road, Hampton Park, Hallam, City of Casey, Victoria, 3976, Australia",-38.0395187,145.2663725
238,Edendale Community Environment Farm,"Eltham, Shire of Nillumbik, Victoria, 3095, Australia",-37.718984,145.1460687
239,Emerald St Community Garden,"Emerald Street, Collingwood Public Housing Estate, Collingwood, City of Yarra, Victoria, 3066, Australia",-37.8005348,144.9880479
240,Essendon Community Garden,"Brisbane Street, Ascot Vale, Travancore, City of Moonee Valley, Victoria, 3032, Australia",-37.7740632,144.9328976
241,Fairfield Community Garden,"Hamilton Street, Alphington, City of Darebin, Victoria, 3078, Australia",-37.7799352,145.0237317
247,Dromana Community Garden,"Marna Street, Dromana, Shire of Mornington Peninsula, Victoria, 3936, Australia",-38.335931,144.9701847
250,Ballan Community Friendship Garden,"Windle Street, Ballan, Shire of Moorabool, Victoria, 3342, Australia",-37.6086144,144.2328367
259,Anakie Community Garden,"Anakie, Victoria, 3213, Australia",-37.9155821,144.2572728
261,Farnham St Community Garden,"Farnham Street, Newmarket, Flemington, Travancore, City of Moonee Valley, Victoria, 3031, Australia",-37.7822831,144.9299162
262,Geelong West Community Garden,"Autumn Street, Geelong West, Victoria, 3218, Australia",-38.1426883,144.3448359
263,Flemington Community Garden,"East West Link (Port Connection), Kensington, City of Melbourne, Victoria, 3031, Australia",-37.7941207,144.9276659
264,Docklands Community Garden,"Defence Plaza, 661, Bourke Street, Melbourne, City of Melbourne, Victoria, 3000, Australia",-37.8170738,144.954256
265,Doncaster Community Garden,"Wetherby Road, Doncaster, City of Manningham, Victoria, 3108, Australia",-37.7929116,145.1426403
267,Doncaster Hill Community Garden,"Doncaster Kindergarten, Hummell Way, Doncaster Hill, Doncaster, City of Manningham, Victoria, 3108, Australia",-37.7868976,145.1311298
268,Wangaratta Community Garden,"Wills Street, Wangaratta, Rural City of Wangaratta, Victoria, 3677, Australia",-36.3668343,146.3165108
269,The Mildura Eco Village,"Scherger Drive, Mildura, Rural City of Mildura, Victoria, 3500, Australia",-34.1843444,142.1413847
277,East Keilor Sustainability St Community Garden,"Tuppal Place, Keilor East, Airport West, City of Moonee Valley, Victoria, 3042, Australia",-37.7316805,144.8632404
278,ECOSS Community Garden,"Old Warburton Road, Wesburn, Shire of Yarra Ranges, Victoria, 3799, Australia",-37.7671174,145.6752597
279,Darley Community Art Garden,"Holts Lane, Darley, Shire of Moorabool, Victoria, 3340, Australia",-37.6619224,144.432236
280,Daylesford Community Food Garden â€” Albert St,"Albert Street, Daylesford, Shire of Hepburn, Victoria, 3460, Australia",-37.3412117,144.1403652
277,East Keilor Sustainability St Community Garden,"Tuppal Place, Keilor East, Airport West, City of Moonee Valley, Victoria, 3042, Australia",-37.7316805,144.8632404
278,ECOSS Community Garden,"Old Warburton Road, Wesburn, Shire of Yarra Ranges, Victoria, 3799, Australia",-37.7671174,145.6752597
279,Darley Community Art Garden,"Holts Lane, Darley, Shire of Moorabool, Victoria, 3340, Australia",-37.6619224,144.432236
280,Daylesford Community Food Garden â€” Albert St,"Albert Street, Daylesford, Shire of Hepburn, Victoria, 3460, Australia",-37.3412117,144.1403652
281,Daylesford Community Food Garden â€” Camp St,"Daylesford Courthouse, Camp Street, Daylesford, Shire of Hepburn, Victoria, 3460, Australia",-37.3405241,144.1610974
282,Daylesford Community Orchard â€” Raglan St,"Raglan Street, Daylesford, Shire of Hepburn, Victoria, 3460, Australia",-37.3394868,144.1433044
283,Daylesford Community Garden â€” Skate Park,"Stanbridge Street, Daylesford, Shire of Hepburn, Victoria, 3460, Australia",-37.3442792,144.1320273
284,Mornington Community Garden â€” Dig-It,"Mornington, Shire of Mornington Peninsula, Victoria, 3931, Australia",-38.2277083,145.0603633
285,Buna Reserve Community Garden,"Buna Street, Heidelberg West, City of Banyule, Victoria, 3081, Australia",-37.7369548,145.0402896
286,Buncle St Community Garden,"Mark Street, Hotham Hill, North Melbourne, City of Melbourne, Victoria, 3051, Australia",-37.7926802,144.9443585
288,Neill St Community Garden,"Drummond Street, Melbourne Innovation District, Carlton, City of Melbourne, Victoria, 3053, Australia",-37.7988884,144.9688269
289,Croydon Community Garden,"Trawalla Road, Croydon, Melbourne, City of Maroondah, Victoria, 3136, Australia",-37.8033274,145.3010596
281,Daylesford Community Food Garden â€” Camp St,"Daylesford Courthouse, Camp Street, Daylesford, Shire of Hepburn, Victoria, 3460, Australia",-37.3405241,144.1610974
282,Daylesford Community Orchard â€” Raglan St,"Raglan Street, Daylesford, Shire of Hepburn, Victoria, 3460, Australia",-37.3394868,144.1433044
283,Daylesford Community Garden â€” Skate Park,"Stanbridge Street, Daylesford, Shire of Hepburn, Victoria, 3460, Australia",-37.3442792,144.1320273
284,Mornington Community Garden â€” Dig-It,"Mornington, Shire of Mornington Peninsula, Victoria, 3931, Australia",-38.2277083,145.0603633
285,Buna Reserve Community Garden,"Buna Street, Heidelberg West, City of Banyule, Victoria, 3081, Australia",-37.7369548,145.0402896
286,Buncle St Community Garden,"Mark Street, Hotham Hill, North Melbourne, City of Melbourne, Victoria, 3051, Australia",-37.7926802,144.9443585
288,Neill St Community Garden,"Drummond Street, Melbourne Innovation District, Carlton, City of Melbourne, Victoria, 3053, Australia",-37.7988884,144.9688269
289,Croydon Community Garden,"Trawalla Road, Croydon, Melbourne, City of Maroondah, Victoria, 3136, Australia",-37.8033274,145.3010596
291,Crown St Community Garden,"Crown Street, Newmarket, Flemington, Ascot Vale, City of Moonee Valley, Victoria, 3031, Australia",-37.7859577,144.9227915
293,Breamlea Community Garden,"Connewarre, Surf Coast Shire, Victoria, 3227, Australia",-38.2742666,144.4587117
294,Hope Community Garden - Northern Hub,"The Boulevard, Norlane, Victoria, 3214, Australia",-38.097914,144.3502463
296,Craigieburn Community Garden,"Hamilton Street, Craigieburn, City of Hume, Victoria, 3064, Australia",-37.5944137,144.9421943
298,Ballarat Community Garden,"Dyte Parade, Ballarat East, Ballarat, City of Ballarat, Victoria, 3350, Australia",-37.5591355,143.8769399
299,Ashburton Community Garden,"Gardiners Creek Trail, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia",-37.8697404,145.0669606
291,Crown St Community Garden,"Crown Street, Newmarket, Flemington, Ascot Vale, City of Moonee Valley, Victoria, 3031, Australia",-37.7859577,144.9227915
293,Breamlea Community Garden,"Connewarre, Surf Coast Shire, Victoria, 3227, Australia",-38.2742666,144.4587117
294,Hope Community Garden - Northern Hub,"The Boulevard, Norlane, Victoria, 3214, Australia",-38.097914,144.3502463
296,Craigieburn Community Garden,"Hamilton Street, Craigieburn, City of Hume, Victoria, 3064, Australia",-37.5944137,144.9421943
298,Ballarat Community Garden,"Dyte Parade, Ballarat East, Ballarat, City of Ballarat, Victoria, 3350, Australia",-37.5591355,143.8769399
299,Ashburton Community Garden,"Gardiners Creek Trail, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia",-37.8697404,145.0669606
300,Norlane Community Garden,"41, Rose Avenue, Norlane, Victoria, 3214, Australia",-38.0884122,144.3618465
301,Rosewall Community Garden,"Sharland Road, Rosewall, Corio, Victoria, 3214, Australia",-38.0646183,144.3730404
302,Springdale Community Garden,"Jetty Road, Curlewis, Drysdale, Victoria, 3222, Australia",-38.1683898,144.5532242
303,Ashwood High School Community Garden,"Vannam Drive, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia",-37.8629484,145.102996
304,Atherton Gardens,"Napier Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia",-37.8004537,144.9803749
305,Avondale Heights Community Garden,"River Drive, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia",-37.7517831,144.8542237
306,Balwyn Community Garden,"Whitehorse Road, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia",-37.8130616,145.0831621
307,Glen Parks Oaks Community Garden,"Glen Park Road, Bayswater North, Croydon South, Melbourne, City of Maroondah, Victoria, 3153, Australia",-37.8336653,145.2737326
308,Birdsland Community Garden,"Hazel Vale Road, Tecoma, Melbourne, Shire of Yarra Ranges, Victoria, 3160, Australia",-37.9167629,145.3395125
300,Norlane Community Garden,"41, Rose Avenue, Norlane, Victoria, 3214, Australia",-38.0884122,144.3618465
301,Rosewall Community Garden,"Sharland Road, Rosewall, Corio, Victoria, 3214, Australia",-38.0646183,144.3730404
302,Springdale Community Garden,"Jetty Road, Curlewis, Drysdale, Victoria, 3222, Australia",-38.1683898,144.5532242
303,Ashwood High School Community Garden,"Vannam Drive, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia",-37.8629484,145.102996
304,Atherton Gardens,"Napier Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia",-37.8004537,144.9803749
305,Avondale Heights Community Garden,"River Drive, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia",-37.7517831,144.8542237
306,Balwyn Community Garden,"Whitehorse Road, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia",-37.8130616,145.0831621
307,Glen Parks Oaks Community Garden,"Glen Park Road, Bayswater North, Croydon South, Melbourne, City of Maroondah, Victoria, 3153, Australia",-37.8336653,145.2737326
308,Birdsland Community Garden,"Hazel Vale Road, Tecoma, Melbourne, Shire of Yarra Ranges, Victoria, 3160, Australia",-37.9167629,145.3395125
309,Port Phillip Eco Centre Community Garden,"Blessington Street, St Kilda, City of Port Phillip, Victoria, 3182, Australia",-37.8699842,144.9817225
310,Brentwood Secondary College Learning Garden,"Watsons Road, Glen Waverley, Melbourne, City of Monash, Victoria, 3150, Australia",-37.8969102,145.1690355
311,Broadford Community Garden,"High Street Service Road, Broadford, Shire of Mitchell, Victoria, 3658, Australia",-37.4119623,144.9791962
312,Coasthaven Community Garden,"Robin Avenue, Norlane West, Norlane, Victoria, 3214, Australia",-38.0869278,144.3470091
313,Vines Road Community Garden,"Vines Road, Hamlyn Heights, Victoria, 3215, Australia",-38.121055,144.3282177
314,Waurn Ponds Community Garden,"Waurnvale Drive, Belmont, Victoria, 3216, Australia",-38.1941386,144.3248091
316,Cultivating Community,"Lennox Street, Richmond, City of Yarra, Victoria, 3121, Australia",-37.8176694,144.9947042
309,Port Phillip Eco Centre Community Garden,"Blessington Street, St Kilda, City of Port Phillip, Victoria, 3182, Australia",-37.8699842,144.9817225
310,Brentwood Secondary College Learning Garden,"Watsons Road, Glen Waverley, Melbourne, City of Monash, Victoria, 3150, Australia",-37.8969102,145.1690355
311,Broadford Community Garden,"High Street Service Road, Broadford, Shire of Mitchell, Victoria, 3658, Australia",-37.4119623,144.9791962
312,Coasthaven Community Garden,"Robin Avenue, Norlane West, Norlane, Victoria, 3214, Australia",-38.0869278,144.3470091
313,Vines Road Community Garden,"Vines Road, Hamlyn Heights, Victoria, 3215, Australia",-38.121055,144.3282177
314,Waurn Ponds Community Garden,"Waurnvale Drive, Belmont, Victoria, 3216, Australia",-38.1941386,144.3248091
316,Cultivating Community,"Lennox Street, Richmond, City of Yarra, Victoria, 3121, Australia",-37.8176694,144.9947042
321,Northcote Public Library Community Garden,"Separation Street, Ruckers Hill, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.780236,144.9964901
322,PICAL Cowes Community Garden,"Church Street, Cowes, Bass Coast Shire, Victoria, 3922, Australia",-38.4523063,145.225027
325,Mackie Road Neighbourhood House Community Garden,"Mackie Road, Mulgrave, Melbourne, City of Monash, Victoria, 3170, Australia",-37.9259393,145.1614879
326,Manifold Heights Community Garden,"Manifold Street, Manifold Heights, Victoria, 3218, Australia",-38.1366928,144.3346276
321,Northcote Public Library Community Garden,"Separation Street, Ruckers Hill, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.780236,144.9964901
322,PICAL Cowes Community Garden,"Church Street, Cowes, Bass Coast Shire, Victoria, 3922, Australia",-38.4523063,145.225027
325,Mackie Road Neighbourhood House Community Garden,"Mackie Road, Mulgrave, Melbourne, City of Monash, Victoria, 3170, Australia",-37.9259393,145.1614879
326,Manifold Heights Community Garden,"Manifold Street, Manifold Heights, Victoria, 3218, Australia",-38.1366928,144.3346276
327,Grovedale Community Garden,"Heyers Road, Grovedale, Victoria, 3216, Australia",-38.2081679,144.3259874
328,Danawa Community Garden,"Spring Creek Reserve, Torquay, Surf Coast Shire, Victoria, 3228, Australia",-38.3369538,144.3151228
329,Barwon Heads Community Arts Garden,"Barwon Heads Road, Barwon Heads, Victoria, 3227, Australia",-38.2713869,144.4779314
330,Orbost Community Garden,"Lawson Lane, Orbost, Shire of East Gippsland, Victoria, 3888, Australia",-37.7071308,148.4585411
327,Grovedale Community Garden,"Heyers Road, Grovedale, Victoria, 3216, Australia",-38.2081679,144.3259874
328,Danawa Community Garden,"Spring Creek Reserve, Torquay, Surf Coast Shire, Victoria, 3228, Australia",-38.3369538,144.3151228
329,Barwon Heads Community Arts Garden,"Barwon Heads Road, Barwon Heads, Victoria, 3227, Australia",-38.2713869,144.4779314
330,Orbost Community Garden,"Lawson Lane, Orbost, Shire of East Gippsland, Victoria, 3888, Australia",-37.7071308,148.4585411
348,Sunbury Community Garden,"Highgrove Drive, Goonawarra, Sunbury, Melbourne, City of Hume, Victoria, 3429, Australia",-37.5664463,144.7586409
349,Lalor Community Garden,"Duncan Road, Lalor, Melbourne, City of Whittlesea, Victoria, 3075, Australia",-37.6666817,145.0127593
350,Gronn Place Community Garden,"Gronn Place, Brunswick West, Melbourne, City of Moreland, Victoria, 3055, Australia",-37.7569013,144.9394627
351,Grinter Community Garden,"Grinter Reserve West, Coppards Road, Moolap, Victoria, 3219, Australia",-38.1787313,144.4034418
348,Sunbury Community Garden,"Highgrove Drive, Goonawarra, Sunbury, Melbourne, City of Hume, Victoria, 3429, Australia",-37.5664463,144.7586409
349,Lalor Community Garden,"Duncan Road, Lalor, Melbourne, City of Whittlesea, Victoria, 3075, Australia",-37.6666817,145.0127593
350,Gronn Place Community Garden,"Gronn Place, Brunswick West, Melbourne, City of Moreland, Victoria, 3055, Australia",-37.7569013,144.9394627
351,Grinter Community Garden,"Grinter Reserve West, Coppards Road, Moolap, Victoria, 3219, Australia",-38.1787313,144.4034418
357,Community Kitchen Garden,"Templeton Street, Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia",-37.0633862,144.2182211
358,Groundswell Community Garden,"Bentley Place, Frankston, Frankston South, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1544125,145.1218067
359,Gravel Hill Community Garden,"Bramble Street, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia",-36.7597243,144.2872323
360,Hills Community Gardens,"Cockatoo, Melbourne, Shire of Cardinia, Victoria, 3781, Australia",-37.9357967,145.4913918
361,Holmes St Community Garden,"Holmes Street, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.7829444,145.0061548
362,Maydale Social Garden,"McBryde Street, Horsham, Rural City of Horsham, Victoria, 3400, Australia",-36.7193823,142.2074454
357,Community Kitchen Garden,"Templeton Street, Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia",-37.0633862,144.2182211
358,Groundswell Community Garden,"Bentley Place, Frankston, Frankston South, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1544125,145.1218067
359,Gravel Hill Community Garden,"Bramble Street, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia",-36.7597243,144.2872323
360,Hills Community Gardens,"Cockatoo, Melbourne, Shire of Cardinia, Victoria, 3781, Australia",-37.9357967,145.4913918
361,Holmes St Community Garden,"Holmes Street, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.7829444,145.0061548
362,Maydale Social Garden,"McBryde Street, Horsham, Rural City of Horsham, Victoria, 3400, Australia",-36.7193823,142.2074454
357,Community Kitchen Garden,"Templeton Street, Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia",-37.0633862,144.2182211
358,Groundswell Community Garden,"Bentley Place, Frankston, Frankston South, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1544125,145.1218067
359,Gravel Hill Community Garden,"Bramble Street, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia",-36.7597243,144.2872323
360,Hills Community Gardens,"Cockatoo, Melbourne, Shire of Cardinia, Victoria, 3781, Australia",-37.9357967,145.4913918
361,Holmes St Community Garden,"Holmes Street, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.7829444,145.0061548
362,Maydale Social Garden,"McBryde Street, Horsham, Rural City of Horsham, Victoria, 3400, Australia",-36.7193823,142.2074454
363,Bellfield Community Garden,"Oriel Road, Bellfield, Heidelberg West, Melbourne, City of Banyule, Victoria, 3081, Australia",-37.7530201,145.0393449
364,King St Community Garden,"King Street, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia",-37.8499486,144.995392
365,Kensington Community Garden,"Kensington Community Garden, Cornish Lane, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.793818,144.9206407
366,Kensington Stockyard Food Garden,"Serong Street, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.7885861,144.9250568
368,Joy of the Earth Community Garden,"Willis Street, Frankston, Frankston North, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1441954,145.1303661
369,Koo Wee Rup Men's Shed and Community Garden,"Koo Wee Rup, Melbourne, Shire of Cardinia, Victoria, 3981, Australia",-38.1993603,145.4906992
370,Kyneton Community Garden,"Epping Street, Kyneton, Shire of Macedon Ranges, Victoria, 3444, Australia",-37.2519931,144.4621221
371,Jolimont Community Garden,"Jolimont Road, Forest Hill, Vermont South, Melbourne, City of Whitehorse, Victoria, 3133, Australia",-37.8442442,145.1816443
363,Bellfield Community Garden,"Oriel Road, Bellfield, Heidelberg West, Melbourne, City of Banyule, Victoria, 3081, Australia",-37.7530201,145.0393449
364,King St Community Garden,"King Street, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia",-37.8499486,144.995392
365,Kensington Community Garden,"Kensington Community Garden, Cornish Lane, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.793818,144.9206407
366,Kensington Stockyard Food Garden,"Serong Street, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.7885861,144.9250568
368,Joy of the Earth Community Garden,"Willis Street, Frankston, Frankston North, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1441954,145.1303661
369,Koo Wee Rup Men's Shed and Community Garden,"Koo Wee Rup, Melbourne, Shire of Cardinia, Victoria, 3981, Australia",-38.1993603,145.4906992
370,Kyneton Community Garden,"Epping Street, Kyneton, Shire of Macedon Ranges, Victoria, 3444, Australia",-37.2519931,144.4621221
371,Jolimont Community Garden,"Jolimont Road, Forest Hill, Vermont South, Melbourne, City of Whitehorse, Victoria, 3133, Australia",-37.8442442,145.1816443
363,Bellfield Community Garden,"Oriel Road, Bellfield, Heidelberg West, Melbourne, City of Banyule, Victoria, 3081, Australia",-37.7530201,145.0393449
364,King St Community Garden,"King Street, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia",-37.8499486,144.995392
365,Kensington Community Garden,"Kensington Community Garden, Cornish Lane, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.793818,144.9206407
366,Kensington Stockyard Food Garden,"Serong Street, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.7885861,144.9250568
368,Joy of the Earth Community Garden,"Willis Street, Frankston, Frankston North, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1441954,145.1303661
369,Koo Wee Rup Men's Shed and Community Garden,"Koo Wee Rup, Melbourne, Shire of Cardinia, Victoria, 3981, Australia",-38.1993603,145.4906992
